,neighbourhood,dist
910,north,0.06750444903204146
3206,south,0.13224413247899156
1596,north,0.06956290188828139
717,north,0.08230621609040262
5808,south,0.13133413478269984
3678,central,0.014927282375571511
3746,south,0.07488513106833083
2406,north,0.047938345143732755
3467,northwest,0.1764748996064854
5906,south,0.04500378463107548
3835,south,0.10154120830047365
2320,central,0.018955692736488755
2150,north,0.06659916347161868
4344,west,0.09654265630859195
553,central,0.014356339057012339
4774,south,0.06484169509752345
4862,north,0.06475593155163333
5077,west,0.02313334180613701
3703,central,0.015301014316704546
4494,west,0.030248110141291067
6021,farnorth,0.1271672376955565
5003,central,0.0264754498945724
3376,west,0.0845064278686514
100,central,0.012434578204356606
4341,central,0.026394875546590715
3321,farnorth,0.07851557694571874
5912,south,0.12327324195915938
4974,central,0.01924610275145965
3502,central,0.021710611762913154
6150,central,0.0025847775378104853
1162,north,0.05991844576688735
2842,farnorth,0.13576484219089635
2257,south,0.0438446755618064
4605,north,0.06852042748785922
6403,central,0.0025847775378104853
4824,farnorth,0.13052952533093712
5427,farnorth,0.10254590690573465
210,northwest,0.11965490752627009
4314,central,0.01775837445037985
4575,farnorth,0.23065787153946285
3943,south,0.09089153918336501
5873,north,0.09220532023217692
6238,west,0.06884858905685651
3347,northwest,0.1191427484957411
2140,southwest,0.10428545654653759
4184,northwest,0.10693475030652401
1005,farnorth,0.1062994059020073
1240,south,0.09075666449974963
3051,west,0.09172360664038184
1987,north,0.07638667904235506
3080,farnorth,0.09414581940330129
2855,north,0.08790387922680064
4072,north,0.09485156251279993
2241,west,0.050361494567971295
2836,central,0.009592936522249108
3444,southwest,0.1603606947824828
6378,south,0.04159301132546419
5429,south,0.04332961369686827
5356,west,0.02972722393227968
2398,north,0.05657056350364442
5031,northwest,0.11671296544564776
372,west,0.02648317214987613
4423,west,0.06719217388297202
4323,central,0.013729299148905702
5859,west,0.04660646400575154
5084,south,0.08246535621168559
5092,central,0.016004131938969008
2430,north,0.08007402319803508
2513,farsouth,0.16014901255743366
834,north,0.09636139973619884
2164,farsouthwest,0.1319198470554022
5402,southwest,0.0971495317081897
218,farnorth,0.09432635296204203
3828,farnorth,0.1326460122247116
6417,west,0.037573412401954394
6235,west,0.059934730358271245
5669,central,0.012847843364541884
3001,farnorth,0.10794056905130248
3704,central,0.007850413436245261
5488,north,0.06952868023426505
2776,west,0.014160885534450171
3142,central,0.011796713403318953
205,north,0.06546493112437715
5302,north,0.08409272072611108
1375,farnorth,0.14057904164958965
1006,north,0.03847250549574112
5622,central,0.030532818787657304
5403,north,0.07349719210364225
4109,southwest,0.08213341511905564
1355,northwest,0.11739007272813816
3774,north,0.06096729017366505
4521,northwest,0.11194807785361509
2097,central,0.012017111762809762
3854,south,0.07617946315851848
3626,central,0.018999496812286718
951,farnorth,0.21545788180318348
6203,west,0.019019510590955878
5816,north,0.04197733253935633
1998,north,0.04876758028772118
2918,north,0.07103782738174838
4265,north,0.08801118514778856
3725,central,0.004781526860733648
3849,central,0.006692356171038334
5864,south,0.03790603908508786
3998,farnorth,0.08402304783283471
2331,north,0.09115614655699389
2497,northwest,0.138557554911731
4845,northwest,0.16361703099347294
2785,north,0.03340139444873185
1630,farnorth,0.10124240601210355
3643,central,0.019216051392526676
2270,central,0.015405049273532034
4240,central,0.018199524365208705
4339,central,0.026536668500775018
57,north,0.06634384052132361
1352,farnorth,0.10105229049912691
735,northwest,0.11502153457121726
6352,central,0.019236945888581422
5631,west,0.06642018337161429
894,west,0.036501951935751606
6130,west,0.04651369526407015
2800,west,0.04524387055855188
5823,farnorth,0.09394589846885087
646,central,0.015922021200838524
3523,north,0.09204247340830693
6281,north,0.06950698887967333
4398,north,0.07132874292401215
854,north,0.04383430527703044
3409,central,0.02185127362695231
2878,central,0.018451844761977677
3417,north,0.07444639746233163
4737,south,0.097698957779094
4157,central,0.012283709175986993
3147,central,0.018031598462698046
4257,southwest,0.08227722547047171
1650,southwest,0.07055447205612854
1899,north,0.08998133730457387
680,south,0.048382659694565094
3934,south,0.12398223520779851
1885,west,0.0599881480220782
2341,north,0.06063582689400361
1296,north,0.03322931607962351
2812,central,0.011888202518463892
203,farnorth,0.1264646424860302
4495,west,0.029374034369146356
518,west,0.0463893058270965
4284,west,0.07514455253123511
6380,south,0.09706780425620223
6114,farnorth,0.09892450773756332
2625,north,0.07835278424611895
3652,south,0.12281301354140535
3529,southwest,0.10916531507360537
1448,southwest,0.1197986105391872
1282,west,0.0496228265934133
2600,west,0.080512422340395
2243,west,0.0498728414181422
1077,west,0.03817855616860833
5202,west,0.017294591961647225
5447,northwest,0.21651000495846753
3393,central,0.014167448010138198
2867,west,0.028252710438466243
3677,central,0.015298933267388128
6497,central,0.01254333508939889
3398,west,0.01921563715101988
900,farnorth,0.11281174629939994
1386,west,0.02870369535650944
1796,central,0.004604461219294095
3281,south,0.03974686532445192
4246,north,0.09154437668758095
5550,west,0.057680602763138
5263,farsouth,0.16193708862123185
3488,west,0.04046915219175611
4089,west,0.07337369124637706
1357,northwest,0.10935838535347493
4214,central,0.01636138084393337
16,farnorth,0.12118230705478288
2659,southwest,0.1193655889070169
3851,central,0.014367358529667225
3300,north,0.08254481545874937
4550,farnorth,0.09095582615269551
3957,south,0.0640527886599824
761,farnorth,0.13250621108129165
5980,farnorth,0.11295261927883062
1061,farnorth,0.12740278844325797
2263,west,0.05287364249907413
6263,central,0.01652932688042631
6493,farnorth,0.09522675479915824
4427,north,0.06594838805550612
1177,west,0.054579308891912245
190,north,0.07272192868123237
2730,west,0.05084613313831805
462,north,0.08406451012835081
4584,central,0.02742010647535797
484,farnorth,0.10585462997488237
1264,northwest,0.1620815352812175
3921,central,0.01943709667414633
1125,north,0.05553025581716345
2673,south,0.02969992968207056
1370,farsouthwest,0.2133576001719193
4827,west,0.05294166313140081
5282,central,0.01907589072939529
3081,farnorth,0.14136510477171868
2192,central,0.012139892107955474
2159,south,0.0874589843476415
2856,south,0.09925652147401041
110,southwest,0.07159155955222933
4681,farnorth,0.1389054777001915
4046,central,0.005577268069580575
1055,west,0.06483415358527357
1454,farnorth,0.09189074198807108
4649,central,0.01547034450553794
981,farnorth,0.12569368308359083
1172,central,0.017890869825693018
5131,north,0.07864922229188559
1958,north,0.07446713438234699
5245,farnorth,0.11895137681893234
232,farnorth,0.07745047098061973
1248,west,0.038179565517695295
2837,central,0.010553867495846775
3041,central,0.0018670444879575413
1840,west,0.05010421618106875
4646,west,0.05161626587733617
4155,north,0.06714018885227828
4960,farnorth,0.11192181960243168
1914,north,0.10491066054085828
1558,north,0.06385781498861075
4065,central,0.005139618577285032
4962,farnorth,0.11340516114850549
4912,south,0.08240738335319253
3601,central,0.014653106671284496
3197,west,0.0811908162732654
5071,north,0.055968231695484885
933,north,0.05729099642282026
1045,west,0.06828886819327608
6280,north,0.0642645506567927
3248,central,0.002465257617370281
2852,central,0.010899243557235903
5485,north,0.06489497157037447
448,west,0.031660492843909586
453,north,0.07967563421221643
37,north,0.08626614060637344
1560,north,0.06653896109137114
12,north,0.06149491516474576
5803,west,0.03169799273013737
1387,north,0.06196024453727954
597,north,0.0814705630710841
6236,west,0.06610090382982009
3512,north,0.08615370645026346
4809,south,0.1242604032148706
1859,north,0.048524723915949974
5815,farsouth,0.16241028430219653
5801,north,0.07642519824716718
5440,central,0.01965956151901322
4232,farsouth,0.15683532532921557
1021,north,0.07186833110013595
836,west,0.03733763119320237
1396,north,0.07994547211142412
5476,farnorth,0.10268845204364091
4588,west,0.05986651417211259
4795,farnorth,0.1015873524761742
6452,south,0.10765255852985528
791,north,0.06862435800151125
4542,north,0.08423267479498621
5834,central,0.009284655681292008
5525,west,0.039682467150104136
1216,west,0.06516499832824127
5069,west,0.07117802266935483
229,northwest,0.1759427552333926
5593,farnorth,0.09303305334728708
2043,central,0.02779515279900487
4613,north,0.06197487090038489
1719,west,0.042689546532139175
863,south,0.11513213823742283
104,farnorth,0.13877163407238163
1764,central,0.008739392605891823
1691,farnorth,0.14698671360065127
1344,farnorth,0.10204277196901007
3949,west,0.03916085963203286
6463,north,0.061666959768739225
2651,central,0.025568027986532436
2031,west,0.07655626265119683
2615,central,0.01530009356572665
1268,north,0.07170636423023878
2594,north,0.07196793301964298
3549,north,0.0684035431181732
516,north,0.06645052209816607
2414,central,0.006050299754563762
4017,farnorth,0.18081177220280167
2479,west,0.03108261557718708
4905,north,0.07175375429285294
1266,central,0.023884780910026514
6523,west,0.05652023990698728
3786,farnorth,0.11342889578550909
5111,west,0.06707122679002932
4932,west,0.042304464529406054
4169,west,0.06605022930406382
4987,central,0.003166615720295945
3316,north,0.0733464574135612
6521,southwest,0.08798135185622222
6241,south,0.04302068171380128
4130,central,0.017600824273882987
2781,farnorth,0.10066644401745418
6474,central,0.0032200154925063947
1828,north,0.06144076444120449
5602,central,0.020618691304733115
3552,north,0.06875913413590548
3841,central,0.019843973571841412
4401,north,0.058126788240183726
1966,west,0.056099777603120266
159,west,0.03315041138688499
2640,north,0.05565710289908336
3840,central,0.005209045893438419
5344,west,0.02972722393227968
6087,farnorth,0.13399832855345303
3079,central,0.011990664665481997
1134,farnorth,0.09891178724054721
221,south,0.12327964100824426
6215,farnorth,0.11531533611414825
3432,north,0.07717181899578854
